campaign fb,filename,persoanl fb,id
['https://www.facebook.com/HansonforHouse'],Meagan_Hanson.csv,https://www.facebook.com/meagan.m.hanson,meagan.m.hanson
['https://www.facebook.com/StewartNavarreforCongress/'],Stewart_Navarre.csv,https://www.facebook.com/stewart.navarre,stewart.navarre
"['https://www.facebook.com/troykingforcongress/', 'http://www.facebook.com/tktheag']",Troy_King.csv,https://www.facebook.com/troykingcashbackshow,troykingcashbackshow
['https://www.facebook.com/ElectJillSchupp'],Jill_Schupp.csv,https://www.facebook.com/jill.schupp.5,jill.schupp.5
[],Letitia_Plummer.csv,https://www.facebook.com/Letitia-Plummer-DDS-1186590454706379,Letitia-Plummer-DDS-1186590454706379
['https://www.facebook.com/rebeccawoodnv/'],Rebecca_Wood.csv,https://www.facebook.com/talentbeauty,talentbeauty
['https://www.facebook.com/bo4nc/'],Robert_Hines.csv,https://www.facebook.com/bo.hines.79,bo.hines.79
"['https://www.facebook.com/votegretchen/', 'https://www.facebook.com/votegretchen/', 'http://www.facebook.com/DriskellForStateRep/info']",Gretchen_Driskell.csv,https://www.facebook.com/gretchen.driskell,gretchen.driskell
['https://www.facebook.com/MuhammadForCongress/'],Steven_Muhammad.csv,https://www.facebook.com/brosm19,brosm19
['https://www.facebook.com/TawnjaForCongress'],Tawnja_Zahradka.csv,https://www.facebook.com/tawnja.zahradka,tawnja.zahradka
['https://www.facebook.com/JessicaForeGA'],Jessica_Fore.csv,https://www.facebook.com/jessicaforemusic,jessicaforemusic
['https://www.facebook.com/mh4oh/'],Morgan_Harper.csv,https://www.facebook.com/morgan.harper.710,morgan.harper.710
"['https://www.facebook.com/Marcoforcongress/', 'https://www.facebook.com/Marcoforcongress/']",Marco_Serna.csv,https://www.facebook.com/marco.serna.712,marco.serna.712
[],Daryl_Eddings.csv,https://www.facebook.com/daryl.eddings,daryl.eddings
['https://www.facebook.com/ezrawatsonforcongress'],Ezra_Watson.csv,https://www.facebook.com/ezra.watson.18,ezra.watson.18
['https://www.facebook.com/williamllopcpaforcongress/'],William_Llop.csv,https://www.facebook.com/profile.php?id=100012794642056,100012794642056
['https://www.facebook.com/getroelizeforcongress'],Getro_Elize.csv,https://www.facebook.com/getro.elize,getro.elize
